Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,9
LAINO BORGO,47,3,-,1,15
LAINO CASTELLO,7,-,-,-,-
LAPPANO,17,1,-,-,6
LATTARICO,118,3,-,-,47
LONGOBARDI,12,-,-,-,3
LONGOBUCCO,75,1,-,3,8
LUNGRO,34,3,-,-,-
LUZZI,275,5,-,2,99
MAIERA',19,-,-,-,1
MALITO,21,-,-,1,16
MALVITO,18,-,-,-,-
MANDATORICCIO,65,1,-,5,45
MANGONE,81,1,-,1,9
MARANO MARCHESATO,93,3,-,1,38
MARANO PRINCIPATO,78,-,-,1,18
MARZI,31,2,-,-,13
MENDICINO,246,-,-,2,67
MONGRASSANO,46,2,-,-,12
MONTALTO UFFUGO,588,5,-,6,200
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,86,3,1,1,4
MORMANNO,114,6,1,-,21
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,18,-,-,-,5
PANETTIERI,10,1,-,-,2
PAOLA,265,4,1,2,89
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,-
PATERNO CALABRO,116,-,-,1,8
PEDIVIGLIANO,53,-,-,1,35
PIANE CRATI,59,1,-,-,14
PIETRAFITTA,10,-,-,-,-
PIETRAPAOLA,24,2,1,1,15
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,24
RENDE,1144,20,1,16,427
ROCCA IMPERIALE,123,-,-,2,53
ROGGIANO GRAVINA,139,4,1,4,16
ROGLIANO,165,2,-,-,25
ROSE,200,3,1,1,41
ROSETO CAPO SPULICO,28,-,-,1,1
ROTA GRECA,34,3,-,-,2
ROVITO,101,1,-,-,16
SAN BASILE,10,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,25,-,-,-,3
SAN DONATO DI NINEA,10,2,-,-,2
SAN FILI,53,1,-,-,22
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,783,21,1,2,164
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,6
SAN LUCIDO,145,4,1,2,23
SAN MARCO ARGENTANO,87,3,-,3,19
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,95,5,-,-,10
SAN SOSTI,68,4,1,5,27
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,1
SANTA MARIA DEL CEDRO,52,2,-,-,3
SANTA SOFIA D'EPIRO,67,2,-,1,7
SANT'AGATA DI ESARO,22,2,-,1,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,16
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,8
SCALEA,122,3,-,-,16
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,136,7,1,3,14
SPEZZANO DELLA SILA,172,9,-,1,31
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,209,5,1,4,47
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,222,14,-,-,33
TORTORA,180,1,-,1,65
TREBISACCE,111,6,-,4,42
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,43,-,1,-,20
VILLAPIANA,80,-,-,1,36
ZUMPANO,124,1,1,1,31
